start_station,count,close_to_metro
Massachusetts Ave & Dupont Circle NW,358045,yes
Columbus Circle / Union Station,357893,yes
15th & P St NW,258100,no
Lincoln Memorial,244777,no
Jefferson Dr & 14th St SW,230084,no
Thomas Circle,207070,no
14th & V St NW,206477,no
17th & Corcoran St NW,202224,no
Eastern Market Metro / Pennsylvania Ave & 7th St SE,197368,yes
Adams Mill & Columbia Rd NW,177581,no
14th & Rhode Island Ave NW,166353,no
8th & H St NW,164047,no
North Capitol St & F St NW,161735,yes
20th St & Florida Ave NW,160866,yes
New York Ave & 15th St NW,147673,yes
14th & R St NW,146918,yes
16th & Harvard St NW,146916,no
21st & M St NW,145205,yes
Jefferson Memorial,141629,no
Park Rd & Holmead Pl NW,141300,no
